Country Name,Country Code,Indicator Name,Indicator Code,2014
Albania,ALB,Annual wage for skilled female workers (US$ Dollars),w_F_skl,251377.2061
Albania,ALB,Annual wage for skilled male workers (US$ Dollars),w_M_skl,336793.6947
Albania,ALB,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,167814.8045
Albania,ALB,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,234393.011
Albania,ALB,Labor volume for skilled females (millions),v_F_skl,171223.4846
Albania,ALB,Labor volume for skilled males (millions),v_M_skl,277060.6956
Albania,ALB,Labor volume for unskilled females (millions),v_F_nsk,121920.941
Albania,ALB,Labor volume for unskilled male (millions),v_M_nsk,705636.8789
Albania,ALB,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.343442954
Albania,ALB,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.027854486
Albania,ALB,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.35237611
Albania,ALB,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.27632645
Albania,ALB,Value-added from Capital in GTAP10P3COD,gtap10VACapital,5525.286044
Albania,ALB,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,4471.605149
Albania,ALB,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Albania,ALB,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Argentina,ARG,Annual wage for skilled female workers (US$ Dollars),w_F_skl,1808923.638
Argentina,ARG,Annual wage for skilled male workers (US$ Dollars),w_M_skl,1705182.797
Argentina,ARG,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,1064311.369
Argentina,ARG,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,1424281.57
Argentina,ARG,Labor volume for skilled females (millions),v_F_skl,4439663.316
Argentina,ARG,Labor volume for skilled males (millions),v_M_skl,4653315.225
Argentina,ARG,Labor volume for unskilled females (millions),v_F_nsk,3727136.308
Argentina,ARG,Labor volume for unskilled male (millions),v_M_nsk,6387249.152
Argentina,ARG,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,7.128602237
Argentina,ARG,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,7.855443259
Argentina,ARG,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,12.45843321
Argentina,ARG,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,37.5575213
Argentina,ARG,Value-added from Capital in GTAP10P3COD,gtap10VACapital,174639.7283
Argentina,ARG,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,232977.0249
Argentina,ARG,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,110.2387161
Argentina,ARG,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,77.25015663
Armenia,ARM,Annual wage for skilled female workers (US$ Dollars),w_F_skl,254677.2748
Armenia,ARM,Annual wage for skilled male workers (US$ Dollars),w_M_skl,340590.2156
Armenia,ARM,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,170503.0105
Armenia,ARM,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,237632.8945
Armenia,ARM,Labor volume for skilled females (millions),v_F_skl,160713.7125
Armenia,ARM,Labor volume for skilled males (millions),v_M_skl,274234.5837
Armenia,ARM,Labor volume for unskilled females (millions),v_F_nsk,125675.9653
Armenia,ARM,Labor volume for unskilled male (millions),v_M_nsk,851003.7386
Armenia,ARM,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.320521508
Armenia,ARM,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.031224944
Armenia,ARM,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.3762258
Armenia,ARM,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.27202775
Armenia,ARM,Value-added from Capital in GTAP10P3COD,gtap10VACapital,4480.163073
Armenia,ARM,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,4110.504528
Armenia,ARM,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Armenia,ARM,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Australia,AUS,Annual wage for skilled female workers (US$ Dollars),w_F_skl,3868416.942
Australia,AUS,Annual wage for skilled male workers (US$ Dollars),w_M_skl,3684240.072
Australia,AUS,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,2390785.807
Australia,AUS,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,3068871.708
Australia,AUS,Labor volume for skilled females (millions),v_F_skl,859109.3369
Australia,AUS,Labor volume for skilled males (millions),v_M_skl,651245.2584
Australia,AUS,Labor volume for unskilled females (millions),v_F_nsk,4873168.952
Australia,AUS,Labor volume for unskilled male (millions),v_M_nsk,5955708.453
Australia,AUS,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,1.977036069
Australia,AUS,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,16.81506129
Australia,AUS,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,3.137546539
Australia,AUS,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,43.0703561
Australia,AUS,Value-added from Capital in GTAP10P3COD,gtap10VACapital,489611.4071
Australia,AUS,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,736962.4128
Australia,AUS,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,104.7199847
Australia,AUS,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,77.13175198
Austria,AUT,Annual wage for skilled female workers (US$ Dollars),w_F_skl,3713081.324
Austria,AUT,Annual wage for skilled male workers (US$ Dollars),w_M_skl,4951719.144
Austria,AUT,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,2476043.681
Austria,AUT,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,3400862.244
Austria,AUT,Labor volume for skilled females (millions),v_F_skl,741016.0815
Austria,AUT,Labor volume for skilled males (millions),v_M_skl,1065744.466
Austria,AUT,Labor volume for unskilled females (millions),v_F_nsk,417322.0263
Austria,AUT,Labor volume for unskilled male (millions),v_M_nsk,2187995.427
Austria,AUT,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.290395303
Austria,AUT,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.008207354
Austria,AUT,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.45271122
Austria,AUT,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.24868612
Austria,AUT,Value-added from Capital in GTAP10P3COD,gtap10VACapital,184016.6651
Austria,AUT,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,106804.0418
Austria,AUT,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Austria,AUT,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Azerbaijan,AZE,Annual wage for skilled female workers (US$ Dollars),w_F_skl,521405.1413
Azerbaijan,AZE,Annual wage for skilled male workers (US$ Dollars),w_M_skl,717944.4755
Azerbaijan,AZE,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,346827.3172
