Name,Date of Death,Death Type,Industry,Position,Official Cause of Death,Location,Link
Leonid Shulm,"January 30, 2022",Suicide,Gas / Oil,Gas boss,Found dead in his bathroom with suicide note,Russia,https://www.reuters.com/world/europe/chairman-russian-oil-producer-lukoil-dies-after-falling-hospital-window-source-2022-09-01/
Igor Nosov,"February 8, 2022",Stroke,Politician,Former governor,Died after suffering an apparent stroke in Moscow,Russia,https://roscongress.org/en/speakers/nosov-igor/biography/
Mikhail Watford,"February 28, 2022",Found Dead,Business,Businessman,"Found dead at his home in Surrey, UK. No evidence of crime found by cops.",UK,https://bit.ly/3CPvAur
Alexander Tyulakov,"February 25, 2022",Suicide,Gas / Oil,Gas boss,Found dead in his garage in suspected suicide in St Petersburg,Russia,https://bit.ly/3AIEyXT
Vasily Melnikov,"March 23, 2022",Murdered,Medical,Medical firm boss,Stabbed to death along with his family in 'murder. suicide' in Nizhny Novgorod,Russia,https://www.weremember.com/vasily-melnikov/1i9k/memories
Vladislav Avayev,"April 18, 2022",Murder-Suicide,Gas / Oil,Gas boss,Found dead with gun in his hand alongside wife and daughter in Moscow,Russia,https://bit.ly/3Q2IsQJ
Sergei Protosenya,"April 19, 2022",Murder-Suicide,Gas / Oil,Gas boss,"Found hanged alongside his wife and daughter who died of axe wounds at villa in Lloret de Mar, Spain",Spain,https://bit.ly/3RtLbnG
Andrei Krukovsky,"May 2, 2022",Fell,Gas / Oil,Gas boss,Fell down a cliff to his death in Sochi,Russia,https://www.occrp.org/en/daily/16775-another-russian-businessman-dies-under-mysterious-circumstances
Alexander Subbotin,"May 8, 2022",Drug-Induced,Gas / Oil,Oil boss,Died of 'drug induced heart attack' during shamanic ritual in Moscow,Russia,https://www.newsweek.com/alexander-subbotin-7th-russian-oligarch-mysteriously-die-this-year-1705164
Dmitry Kovtun,"June 4, 2022",Illness - Covid,FSB / Military,Ex-KGB Agent,KGB agent linked to Litvinenko murder. Died in hospital from Covid in Moscow.,Russia,https://apnews.com/article/russia-ukraine-putin-covid-health-london-c9303aced131fa50613f4046cbf2e14d
Dr Dmitry Kolker,"July 2, 2022",Died in Custody,Scientist,Laser scientist,Dies after being arrested for treason and being flown to Moscow,Russia,https://www.cbsnews.com/news/dmitry-kolker-dies-scientist-taken-hospital-bed-espionage-charges-russia/
Yuri Voronov,"July 4, 2022",Murdered,Shipping,Shipping chief,Shot dead in swimming pool in St. Petersburg,Russia,https://bit.ly/3CSxH0v
Dan Rapoport,"August 14, 2022",Fell,Finance,Investor & Putin critic,Died after falling from a 9 story high rise in Washington DC,USA,https://www.politico.com/news/magazine/2022/08/26/dan-rapoport-putin-critic-was-it-suicide-00053836
Darya Dugina,"August 20, 2022",Murdered,Putin Ally,Daughter of 'Putin's Rasputin',Died in car bombing in Moscow,Russia,https://www.newyorker.com/news/our-columnists/the-mysterious-murder-of-darya-dugina
Ravil Maganov,"September 1, 2022",Fell,Gas / Oil,Oil oligarch & Putin critic,Falls from balcony while smoking in 'suicide',Russia,https://www.bbc.com/news/world-europe-62750584
Ivan Pechorin,"September 10, 2022",Drowned,Gas / Oil,Gas boss,Found floating in the sea near Vladivostok,Russia,https://www.occrp.org/en/daily/16775-another-russian-businessman-dies-under-mysterious-circumstances
Vladimir Sungorkin,"September 14, 2022",Stroke,Journalist,Editor of Putin's 'favourite newspaper',Suddenly suffered stroke while on lunch and died in Khabarovsk,Russia,
Anatoly Gerashchenko,"September 21, 2022",Fell,Infrastructure,Aviation boss,"Falls down ""several"" flights of stars and dies",Russia,
Pavel Pchelnikov,"September 28, 2022",Murdered,Infrastructure,Railway exec,Found shot dead on his balcony in Moscow,Russia,
Nikolay Petrunin,"October 12, 2022",Illness - Covid,Politician,Politician,Died from complications of Covid,Russia,
Nikolai Mushegian,"October 28, 2022",Drowned,Finance,Crypto boss,"Drowned in swimming pool in Puerto Rico, US",USA,
Viktor Cherkesov,"November 8, 2022",Illness,FSB / Military,Putin's spy mentor,Dies after 'serious illness' in St Petersburg,Russia,
Colonel Vadim Boyko,"November 16, 2022",Suicide,FSB / Military,Ukraine war mobilisation chief,Death ruled suicide despite being shot five times in Vladivostok,Russia,
Vyacheslav Taran,"November 25, 2022",Crash,Finance,Crypto billionaire,Killed in helicopter crash in clear weather near Monaco,Monaco,
Vladimir Makei,"November 26, 2022",Suicide,Politician,Belarusian foreign minister,Death ruled suicide by Minsk officials,Belarus,
Grigory Kochenov,"December 7, 2022",Fell,Technology,Tech boss,Fell to his death as police searched his flat in Nizhny Novgorod,Russia,
Dmitriy Zelenov,"December 9, 2022",Fell,Real Estate,Real estate tycoon,"Dies after hitting his head after falling down stairs in Antibes, France",France,
Vladimir Budanov,"December 22, 2022",Found Deat,Politician,'Companion' of Pavel Antov,"Found dead in his hotel room in Odisha, India",India,
Pavel Antov,"December 24, 2022",Murdered,Politician,Politician and businessman,Found dead in a pool of blood at his hotel just days after his friend Bidenov,India,
Alexander Buzakov,"December 24, 2022",Unknown,Defense Manufacturing,Shipyard chief,Died after attending unveiling a new submarine. no cause of death.,Russia,
General Alexei Maslov,"December 25, 2022",Illness,Defense Manufacturing,Tank firm boss,Suddenly fell ill and dies after Putin cancelled visit to factory in Uralvagonzavod,Russia,
Vladimir Nesterov,"December 28, 2022",Unknown,Scientist,Disgraced rocket engineer,Cause of death undisclosed in Russia,Russia,
Magomed Abdulayev,"January 6, 2023",Murdered,Politician,Former regional leader,Mown down by car in Makhachkala,Russia,
Dmitry Pawochka,"January 26, 2023",Murdered,FSB / Military,Space boss,Burned alive in his apartment in Moscow,Russia,
Major General Vladimir Makarov,"February 14, 2023",Suicide,Police,Police chief,Found shot dead in 'suicide' at his apartment in Moscow,Russia,
Marina Yankina,"February 16, 2023",Fell,FSB / Military,Defence official,Found dead after falling from window of 16 storey high rise in St Petersburg,Russia,
Viatcheslav Rovneiko,"February 22, 2023",Found Dead,Gas / Oil,Oil boss,Found unconcious at his home in Moscow,Russia,
Andrey Botikov,"March 3, 2023",Murdered,Scientist,Sputnik V scientist,Strangled to death at his home in Moscow,Russia,
Sergey Grishin,"March 6, 2023",Illness,Technology,'Scarface' oligarch,Dies in hospital of sepsis in Moscow,Russia,https://www.mirror.co.uk/news/world-news/russia-scarface-oligarch-who-sold-29408097
Igor Shkurko,"April 4, 2023",Died in Custody,Gas / Oil,Deputy General Director of Yakutskenergo,Found dead in holding cell while awaiting court appearance,Russia,
Vladimir Lyakishev,5/1/22,Suicide,Restauranteur,Owner and operator of fancy restaurant in Moscow,Found shot dead on balcony in Moscow,Russia,https://www.rbc.ru/society/04/05/2022/627246509a7947030dfd7869
